,name,width,height,framerate,mos
64,12-2-4-submit-83619-crop,190,194,24.0,3.8
65,1-2-3-submit-00000-crop,494,494,30.0,4.4
66,1-2-3-submit-82495-crop,494,494,30.0,2.0
67,1-2-3-submit-82501-crop,494,494,30.0,4.2
68,1-2-3-submit-82508-crop,494,494,30.0,1.6
69,1-2-3-submit-82511-crop,494,494,30.0,4.2
70,1-2-3-submit-82882-crop,494,494,30.0,4.2
71,1-2-3-submit-82910-crop,494,494,30.0,3.6
72,1-2-3-submit-82999-crop,494,494,30.0,2.6
73,1-2-3-submit-83063-crop,494,494,30.0,2.2
74,1-2-3-submit-83485-crop,494,494,30.0,1.8
75,1-2-3-submit-83496-crop,494,494,30.0,2.0
76,1-2-3-submit-83609-crop,494,494,30.0,3.2
77,1-2-3-submit-83619-crop,164,168,24.0,3.6
78,13-1-3-submit-00000-crop,568,568,30.0,4.2
79,13-1-3-submit-82495-crop,568,568,30.0,3.2
80,13-1-3-submit-82501-crop,568,568,30.0,3.6
81,13-1-3-submit-82508-crop,568,568,30.0,1.6
82,13-1-3-submit-82511-crop,568,568,30.0,3.6
83,13-1-3-submit-82882-crop,568,568,30.0,4.0
84,13-1-3-submit-82910-crop,568,568,30.0,3.8
85,13-1-3-submit-82999-crop,568,568,30.0,3.2
86,13-1-3-submit-83063-crop,568,568,30.0,2.4
87,13-1-3-submit-83485-crop,568,568,30.0,1.6
88,13-1-3-submit-83496-crop,568,568,30.0,2.8
89,13-1-3-submit-83609-crop,568,568,30.0,3.4
90,13-1-3-submit-83619-crop,188,194,24.0,3.8
91,13-2-4-submit-00000-crop,560,560,120.0,4.0
92,13-2-4-submit-82495-crop,560,560,120.0,3.2
93,13-2-4-submit-82501-crop,560,560,120.0,4.2
94,13-2-4-submit-82508-crop,560,560,120.0,2.2
95,13-2-4-submit-82511-crop,560,560,120.0,4.2
96,13-2-4-submit-82882-crop,560,560,120.0,4.2
97,13-2-4-submit-82910-crop,560,560,120.0,4.2
98,13-2-4-submit-82999-crop,560,560,120.0,3.0
99,13-2-4-submit-83063-crop,560,560,30.0,2.2
100,13-2-4-submit-83485-crop,560,560,120.0,1.4
101,13-2-4-submit-83496-crop,560,560,120.0,3.4
102,13-2-4-submit-83609-crop,560,560,120.0,3.4
103,13-2-4-submit-83619-crop,186,190,24.0,3.6
104,14-1-2-submit-00000-crop,504,504,30.0,3.8
105,14-1-2-submit-82495-crop,504,504,30.0,3.4
106,14-1-2-submit-82501-crop,504,504,30.0,3.8
107,14-1-2-submit-82508-crop,504,504,30.0,1.6
108,14-1-2-submit-82511-crop,504,504,30.0,3.6
109,14-1-2-submit-82882-crop,504,504,30.0,4.0
110,14-1-2-submit-82910-crop,504,504,30.0,3.6
111,14-1-2-submit-82999-crop,504,504,30.0,2.6
112,14-1-2-submit-83063-crop,504,504,30.0,3.4
113,14-1-2-submit-83485-crop,504,504,30.0,1.6
114,14-1-2-submit-83496-crop,504,504,30.0,3.6
115,14-1-2-submit-83609-crop,504,504,30.0,3.6
116,14-1-2-submit-83619-crop,168,170,24.0,3.8
117,14-2-4-submit-00000-crop,560,560,30.0,3.4
118,14-2-4-submit-82495-crop,560,560,30.0,3.6
119,14-2-4-submit-82501-crop,560,560,30.0,4.2
120,14-2-4-submit-82508-crop,560,560,30.0,1.6
121,14-2-4-submit-82511-crop,560,560,30.0,3.4
122,14-2-4-submit-82882-crop,560,560,30.0,3.6
123,14-2-4-submit-82910-crop,560,560,30.0,3.4
124,14-2-4-submit-82999-crop,560,560,30.0,2.6
125,14-2-4-submit-83063-crop,560,560,30.0,3.0
126,14-2-4-submit-83485-crop,560,560,30.0,1.4
127,14-2-4-submit-83496-crop,560,560,30.0,3.4
128,14-2-4-submit-83609-crop,560,560,30.0,3.4
129,14-2-4-submit-83619-crop,186,190,24.0,3.4
130,15-1-4-submit-00000-crop,584,584,30.0,3.2
131,15-1-4-submit-82495-crop,584,584,30.0,3.6
132,15-1-4-submit-82501-crop,584,584,30.0,4.2
133,15-1-4-submit-82508-crop,584,584,30.0,2.2
134,15-1-4-submit-82511-crop,584,584,30.0,3.6
135,15-1-4-submit-82882-crop,584,584,30.0,3.6
136,15-1-4-submit-82910-crop,584,584,30.0,4.0
137,15-1-4-submit-82999-crop,584,584,30.0,3.2
138,15-1-4-submit-83063-crop,584,584,30.0,3.6
139,15-1-4-submit-83485-crop,584,584,30.0,2.0
140,15-1-4-submit-83496-crop,584,584,30.0,3.6
141,15-1-4-submit-83609-crop,584,584,30.0,3.8
142,15-1-4-submit-83619-crop,194,198,24.0,3.8
143,15-2-3-submit-00000-crop,588,588,30.0,3.6
144,15-2-3-submit-82495-crop,588,588,30.0,3.0
145,15-2-3-submit-82501-crop,588,588,30.0,4.4
146,15-2-3-submit-82508-crop,588,588,30.0,1.8
147,15-2-3-submit-82511-crop,588,588,30.0,3.8
148,15-2-3-submit-82882-crop,588,588,30.0,3.8
149,15-2-3-submit-82910-crop,588,588,30.0,3.6
150,15-2-3-submit-82999-crop,588,588,30.0,3.2
151,15-2-3-submit-83063-crop,588,588,30.0,2.6
152,15-2-3-submit-83485-crop,588,588,30.0,2.0
153,15-2-3-submit-83496-crop,588,588,30.0,3.4
154,15-2-3-submit-83609-crop,588,588,30.0,3.4
155,15-2-3-submit-83619-crop,196,200,24.0,3.6
156,16-1-4-submit-00000-crop,618,618,30.0,3.6
157,16-1-4-submit-82495-crop,618,618,30.0,3.0
158,16-1-4-submit-82501-crop,618,618,30.0,4.0
159,16-1-4-submit-82508-crop,618,618,30.0,1.8
160,16-1-4-submit-82511-crop,618,618,30.0,3.6
161,16-1-4-submit-82882-crop,618,618,30.0,3.6
162,16-1-4-submit-82910-crop,618,618,30.0,3.4
163,16-1-4-submit-82999-crop,618,618,30.0,2.6
164,16-1-4-submit-83063-crop,618,618,30.0,3.2
165,16-1-4-submit-83485-crop,618,618,30.0,2.0
166,16-1-4-submit-83496-crop,618,618,30.0,3.2
167,16-1-4-submit-83609-crop,618,618,30.0,3.4
168,16-1-4-submit-83619-crop,206,210,24.0,3.8
169,16-2-5-submit-00000-crop,852,852,30.0,3.8
170,16-2-5-submit-82495-crop,852,852,30.0,2.6
171,16-2-5-submit-82501-crop,852,852,30.0,3.4
172,16-2-5-submit-82508-crop,852,852,30.0,1.8
173,16-2-5-submit-82511-crop,852,852,30.0,3.6
174,16-2-5-submit-82882-crop,852,852,30.0,3.2
175,16-2-5-submit-82910-crop,852,852,30.0,3.4
176,16-2-5-submit-82999-crop,852,852,30.0,2.6
177,16-2-5-submit-83063-crop,852,852,30.0,3.0
178,16-2-5-submit-83485-crop,852,852,30.0,2.2
179,16-2-5-submit-83496-crop,852,852,30.0,3.0
180,16-2-5-submit-83609-crop,852,852,30.0,3.0
181,16-2-5-submit-83619-crop,284,290,24.0,3.2
182,18-1-3-submit-00000-crop,586,586,25.0,3.8
183,18-1-3-submit-82495-crop,586,586,25.0,3.0
184,18-1-3-submit-82501-crop,586,586,25.0,4.2
185,18-1-3-submit-82508-crop,586,586,25.0,1.6
186,18-1-3-submit-82511-crop,586,586,25.0,3.6
187,18-1-3-submit-82882-crop,586,586,25.0,4.0
188,18-1-3-submit-82910-crop,586,586,25.0,4.0
189,18-1-3-submit-82999-crop,586,586,25.0,3.2
190,18-1-3-submit-83063-crop,586,586,30.0,2.2
191,18-1-3-submit-83485-crop,586,586,25.0,2.4
192,18-1-3-submit-83496-crop,586,586,25.0,2.6
193,18-1-3-submit-83609-crop,586,586,25.0,2.8
194,18-1-3-submit-83619-crop,194,200,24.0,3.2
195,18-2-4-submit-00000-crop,632,632,30.0,4.2
196,18-2-4-submit-82495-crop,632,632,30.0,3.6
197,18-2-4-submit-82501-crop,632,632,30.0,4.0
198,18-2-4-submit-82508-crop,632,632,30.0,1.6
199,18-2-4-submit-82511-crop,632,632,30.0,4.2
200,18-2-4-submit-82882-crop,632,632,30.0,4.2
201,18-2-4-submit-82910-crop,632,632,30.0,3.4
202,18-2-4-submit-82999-crop,632,632,30.0,3.2
203,18-2-4-submit-83063-crop,632,632,30.0,2.6
204,18-2-4-submit-83485-crop,632,632,30.0,2.0
205,18-2-4-submit-83496-crop,632,632,30.0,3.0
206,18-2-4-submit-83609-crop,632,632,30.0,3.6
207,18-2-4-submit-83619-crop,210,214,24.0,3.2
208,19-1-2-submit-00000-crop,642,642,30.0,3.0
209,19-1-2-submit-82495-crop,642,642,30.0,3.4
210,19-1-2-submit-82501-crop,642,642,30.0,4.0
211,19-1-2-submit-82508-crop,642,642,30.0,1.8
212,19-1-2-submit-82511-crop,642,642,30.0,2.8
213,19-1-2-submit-82882-crop,642,642,30.0,3.4
214,19-1-2-submit-82910-crop,642,642,30.0,3.0
215,19-1-2-submit-82999-crop,642,642,30.0,2.4
216,19-1-2-submit-83063-crop,642,642,30.0,2.2
217,19-1-2-submit-83485-crop,642,642,30.0,1.8
218,19-1-2-submit-83496-crop,642,642,30.0,3.0
219,19-1-2-submit-83609-crop,642,642,30.0,3.2
220,19-1-2-submit-83619-crop,214,218,24.0,3.8
221,19-2-1-submit-00000-crop,1112,1112,30.0,3.4
222,19-2-1-submit-82495-crop,1112,1112,30.0,3.0
223,19-2-1-submit-82501-crop,556,556,30.0,4.2
224,19-2-1-submit-82508-crop,1112,1112,30.0,2.2
225,19-2-1-submit-82511-crop,1112,1112,30.0,3.0
226,19-2-1-submit-82882-crop,1112,1112,30.0,3.2
227,19-2-1-submit-82910-crop,1112,1112,30.0,3.2
228,19-2-1-submit-82999-crop,1112,1112,30.0,2.8
229,19-2-1-submit-83063-crop,1112,1112,30.0,2.6
230,19-2-1-submit-83485-crop,1112,1112,30.0,2.4
231,19-2-1-submit-83496-crop,1112,1112,30.0,3.2
232,19-2-1-submit-83609-crop,1112,1112,30.0,2.2
233,19-2-1-submit-83619-crop,184,188,24.0,3.2
234,20-1-3-submit-00000-crop,486,486,25.0,3.8
235,20-1-3-submit-82495-crop,486,486,25.0,2.6
236,20-1-3-submit-82501-crop,486,486,25.0,4.2
237,20-1-3-submit-82508-crop,486,486,25.0,1.6
238,20-1-3-submit-82511-crop,486,486,25.0,3.2
239,20-1-3-submit-82882-crop,486,486,25.0,3.8
240,20-1-3-submit-82910-crop,486,486,25.0,4.2
241,20-1-3-submit-82999-crop,486,486,25.0,2.2
242,20-1-3-submit-83063-crop,486,486,30.0,2.4
243,20-1-3-submit-83485-crop,486,486,25.0,1.6
244,20-1-3-submit-83496-crop,486,486,25.0,2.4
245,20-1-3-submit-83609-crop,486,486,25.0,2.8
246,20-1-3-submit-83619-crop,162,164,24.0,3.8
247,20-2-3-submit-00000-crop,500,500,30.0,3.6
248,20-2-3-submit-82495-crop,500,500,30.0,2.4
249,20-2-3-submit-82501-crop,500,500,30.0,4.2
250,20-2-3-submit-82508-crop,500,500,30.0,1.6
251,20-2-3-submit-82511-crop,500,500,30.0,3.4
252,20-2-3-submit-82882-crop,500,500,30.0,4.0
253,20-2-3-submit-82910-crop,500,500,30.0,3.8
254,20-2-3-submit-82999-crop,500,500,30.0,2.8
255,20-2-3-submit-83063-crop,500,500,30.0,2.8
256,20-2-3-submit-83485-crop,500,500,30.0,2.0
257,20-2-3-submit-83496-crop,500,500,30.0,2.8
258,20-2-3-submit-83609-crop,500,500,30.0,3.0
259,20-2-3-submit-83619-crop,166,170,24.0,3.2
260,21-1-2-submit-00000-crop,696,696,30.0,3.8
261,21-1-2-submit-82495-crop,696,696,30.0,3.2
262,21-1-2-submit-82501-crop,696,696,30.0,4.2
263,21-1-2-submit-82508-crop,696,696,30.0,2.0
264,21-1-2-submit-82511-crop,696,696,30.0,3.4
265,21-1-2-submit-82882-crop,696,696,30.0,3.6
266,21-1-2-submit-82910-crop,696,696,30.0,4.0
267,21-1-2-submit-82999-crop,696,696,30.0,2.2
268,21-1-2-submit-83063-crop,696,696,30.0,1.4
269,21-1-2-submit-83485-crop,696,696,30.0,1.4
270,21-1-2-submit-83496-crop,696,696,30.0,2.6
271,21-1-2-submit-83609-crop,696,696,30.0,1.8
272,21-1-2-submit-83619-crop,232,236,24.0,1.6
273,2-1-1-submit-00000-crop,510,510,30.0,4.2
274,2-1-1-submit-82495-crop,510,510,30.0,2.6
275,2-1-1-submit-82501-crop,510,510,30.0,4.0
276,2-1-1-submit-82508-crop,510,510,30.0,1.8
277,2-1-1-submit-82511-crop,510,510,30.0,3.6
278,2-1-1-submit-82882-crop,510,510,30.0,3.6
279,2-1-1-submit-82910-crop,510,510,30.0,3.6
280,2-1-1-submit-82999-crop,510,510,30.0,2.4
281,2-1-1-submit-83063-crop,510,510,30.0,2.2
282,2-1-1-submit-83485-crop,510,510,30.0,1.8
283,2-1-1-submit-83496-crop,510,510,30.0,3.2
284,2-1-1-submit-83609-crop,510,510,30.0,3.6
285,2-1-1-submit-83619-crop,170,174,24.0,3.2
286,21-2-4-submit-00000-crop,664,664,30.0,4.0
287,21-2-4-submit-82495-crop,664,664,30.0,2.6
288,21-2-4-submit-82501-crop,664,664,30.0,3.6
289,21-2-4-submit-82508-crop,664,664,30.0,1.8
290,21-2-4-submit-82511-crop,664,664,30.0,3.8
291,21-2-4-submit-82882-crop,664,664,30.0,4.2
292,21-2-4-submit-82910-crop,664,664,30.0,4.2
293,21-2-4-submit-82999-crop,664,664,30.0,2.4
294,21-2-4-submit-83063-crop,664,664,30.0,2.6
295,21-2-4-submit-83485-crop,664,664,30.0,1.4
296,21-2-4-submit-83496-crop,664,664,30.0,2.4
297,21-2-4-submit-83609-crop,664,664,30.0,2.4
298,21-2-4-submit-83619-crop,220,226,24.0,3.4
299,22-1-2-submit-00000-crop,594,594,30.0,4.2
300,22-1-2-submit-82495-crop,594,594,30.0,3.4
301,22-1-2-submit-82501-crop,594,594,30.0,4.2
302,22-1-2-submit-82508-crop,594,594,30.0,2.0
303,22-1-2-submit-82511-crop,594,594,30.0,3.6
304,22-1-2-submit-82882-crop,594,594,30.0,3.6
305,22-1-2-submit-82910-crop,594,594,30.0,4.0
306,22-1-2-submit-82999-crop,594,594,30.0,3.6
307,22-1-2-submit-83063-crop,594,594,30.0,3.2
308,22-1-2-submit-83485-crop,594,594,30.0,1.8
309,22-1-2-submit-83496-crop,594,594,30.0,3.6
310,22-1-2-submit-83609-crop,594,594,30.0,3.8
311,22-1-2-submit-83619-crop,198,202,24.0,4.0
312,22-2-3-submit-00000-crop,538,538,30.0,3.8
313,22-2-3-submit-82495-crop,538,538,30.0,3.4
314,22-2-3-submit-82501-crop,538,538,30.0,4.2
315,22-2-3-submit-82508-crop,538,538,30.0,2.2
316,22-2-3-submit-82511-crop,538,538,30.0,3.8
317,22-2-3-submit-82882-crop,538,538,30.0,4.0
318,22-2-3-submit-82910-crop,538,538,30.0,3.8
319,22-2-3-submit-82999-crop,538,538,30.0,3.0
320,22-2-3-submit-83063-crop,538,538,30.0,3.6
321,22-2-3-submit-83485-crop,538,538,30.0,1.8
322,22-2-3-submit-83496-crop,538,538,30.0,3.6
323,22-2-3-submit-83609-crop,538,538,30.0,3.4
324,22-2-3-submit-83619-crop,178,182,24.0,3.8
325,2-2-4-submit-00000-crop,542,542,30.0,3.2
326,2-2-4-submit-82495-crop,542,542,30.0,2.0
327,2-2-4-submit-82501-crop,542,542,30.0,4.0
328,2-2-4-submit-82508-crop,542,542,30.0,1.8
329,2-2-4-submit-82511-crop,542,542,30.0,3.4
330,2-2-4-submit-82882-crop,542,542,30.0,4.0
331,2-2-4-submit-82910-crop,542,542,30.0,3.2
332,2-2-4-submit-82999-crop,542,542,30.0,2.6
333,2-2-4-submit-83063-crop,542,542,30.0,2.6
334,2-2-4-submit-83485-crop,542,542,30.0,1.8
335,2-2-4-submit-83496-crop,542,542,30.0,2.6
336,2-2-4-submit-83609-crop,542,542,30.0,2.8
337,2-2-4-submit-83619-crop,180,184,24.0,2.6
338,3-1-4-submit-00000-crop,634,634,30.0,3.8
339,3-1-4-submit-82495-crop,634,634,30.0,3.2
340,3-1-4-submit-82501-crop,634,634,30.0,3.6
341,3-1-4-submit-82508-crop,634,634,30.0,1.8
342,3-1-4-submit-82511-crop,634,634,30.0,4.2
343,3-1-4-submit-82882-crop,634,634,30.0,4.0
344,3-1-4-submit-82910-crop,634,634,30.0,3.4
345,3-1-4-submit-82999-crop,634,634,30.0,2.0
346,3-1-4-submit-83063-crop,634,634,30.0,2.4
347,3-1-4-submit-83485-crop,634,634,30.0,1.6
348,3-1-4-submit-83496-crop,634,634,30.0,2.6
349,3-1-4-submit-83609-crop,634,634,30.0,3.6
350,3-1-4-submit-83619-crop,210,216,24.0,3.6
351,3-2-2-submit-00000-crop,622,622,30.0,4.0
352,3-2-2-submit-82495-crop,622,622,30.0,2.4
353,3-2-2-submit-82501-crop,622,622,30.0,3.8
354,3-2-2-submit-82508-crop,622,622,30.0,1.6
355,3-2-2-submit-82511-crop,622,622,30.0,4.2
356,3-2-2-submit-82882-crop,622,622,30.0,4.2
357,3-2-2-submit-82910-crop,622,622,30.0,3.6
358,3-2-2-submit-82999-crop,622,622,30.0,2.2
359,3-2-2-submit-83063-crop,622,622,30.0,2.4
360,3-2-2-submit-83485-crop,622,622,30.0,1.8
361,3-2-2-submit-83496-crop,622,622,30.0,2.8
362,3-2-2-submit-83609-crop,622,622,30.0,3.0
363,3-2-2-submit-83619-crop,206,212,24.0,3.0
364,4-1-4-submit-00000-crop,530,530,30.0,3.6
365,4-1-4-submit-82495-crop,530,530,30.0,2.8
366,4-1-4-submit-82501-crop,530,530,30.0,3.4
367,4-1-4-submit-82508-crop,530,530,30.0,1.4
368,4-1-4-submit-82511-crop,530,530,30.0,3.2
369,4-1-4-submit-82882-crop,530,530,30.0,3.4
370,4-1-4-submit-82910-crop,530,530,30.0,3.6
371,4-1-4-submit-82999-crop,530,530,30.0,1.8
372,4-1-4-submit-83063-crop,530,530,30.0,1.6
373,4-1-4-submit-83485-crop,530,530,30.0,1.4
374,4-1-4-submit-83496-crop,530,530,30.0,2.0
375,4-1-4-submit-83609-crop,530,530,30.0,3.0
376,4-1-4-submit-83619-crop,176,180,24.0,3.6
377,4-2-4-submit-00000-crop,570,570,30.0,4.2
378,4-2-4-submit-82495-crop,570,570,30.0,3.0
379,4-2-4-submit-82501-crop,570,570,30.0,3.8
380,4-2-4-submit-82508-crop,570,570,30.0,1.6
381,4-2-4-submit-82511-crop,570,570,30.0,4.2
382,4-2-4-submit-82882-crop,570,570,30.0,4.2
383,4-2-4-submit-82910-crop,570,570,30.0,3.6
384,4-2-4-submit-82999-crop,570,570,30.0,2.6
385,4-2-4-submit-83063-crop,570,570,30.0,1.8
386,4-2-4-submit-83485-crop,570,570,30.0,1.8
387,4-2-4-submit-83496-crop,570,570,30.0,2.6
388,4-2-4-submit-83609-crop,570,570,30.0,2.4
389,4-2-4-submit-83619-crop,190,194,24.0,2.8
390,5-1-8-submit-00000-crop,568,568,25.0,4.2
391,5-1-8-submit-82495-crop,568,568,25.0,3.0
392,5-1-8-submit-82501-crop,568,568,25.0,4.2
393,5-1-8-submit-82508-crop,568,568,25.0,1.6
394,5-1-8-submit-82511-crop,568,568,25.0,3.8
395,5-1-8-submit-82882-crop,568,568,25.0,4.0
396,5-1-8-submit-82910-crop,568,568,25.0,3.4
397,5-1-8-submit-82999-crop,568,568,25.0,2.8
398,5-1-8-submit-83063-crop,568,568,30.0,2.2
399,5-1-8-submit-83485-crop,568,568,25.0,1.6
400,5-1-8-submit-83496-crop,568,568,25.0,2.6
401,5-1-8-submit-83609-crop,568,568,25.0,3.0
402,5-1-8-submit-83619-crop,188,192,24.0,3.6
403,5-2-2-submit-00000-crop,658,658,30.0,3.8
404,5-2-2-submit-82495-crop,658,658,30.0,3.2
405,5-2-2-submit-82501-crop,658,658,30.0,2.6
406,5-2-2-submit-82508-crop,658,658,30.0,1.8
407,5-2-2-submit-82511-crop,658,658,30.0,4.2
408,5-2-2-submit-82882-crop,658,658,30.0,4.2
409,5-2-2-submit-82910-crop,658,658,30.0,3.4
410,5-2-2-submit-82999-crop,658,658,30.0,2.2
411,5-2-2-submit-83063-crop,658,658,30.0,2.6
412,5-2-2-submit-83485-crop,658,658,30.0,1.8
413,5-2-2-submit-83496-crop,658,658,30.0,2.6
414,5-2-2-submit-83609-crop,658,658,30.0,3.2
415,5-2-2-submit-83619-crop,218,224,24.0,3.2
416,6-1-6-submit-00000-crop,644,644,30.0,4.2
417,6-1-6-submit-82495-crop,644,644,30.0,3.8
418,6-1-6-submit-82501-crop,644,644,30.0,4.2
419,6-1-6-submit-82508-crop,644,644,30.0,1.8
420,6-1-6-submit-82511-crop,644,644,30.0,4.0
421,6-1-6-submit-82882-crop,644,644,30.0,4.2
422,6-1-6-submit-82910-crop,644,644,30.0,3.8
423,6-1-6-submit-82999-crop,644,644,30.0,2.4
424,6-1-6-submit-83063-crop,644,644,30.0,2.8
425,6-1-6-submit-83485-crop,644,644,30.0,1.6
426,6-1-6-submit-83496-crop,644,644,30.0,3.2
427,6-1-6-submit-83609-crop,644,644,30.0,4.0
428,6-1-6-submit-83619-crop,214,218,24.0,3.8
429,6-2-7-submit-00000-crop,724,724,30.0,2.6
430,6-2-7-submit-82495-crop,724,724,30.0,2.6
431,6-2-7-submit-82501-crop,724,724,30.0,3.0
432,6-2-7-submit-82508-crop,724,724,30.0,1.6
433,6-2-7-submit-82511-crop,724,724,30.0,3.6
434,6-2-7-submit-82882-crop,724,724,30.0,3.8
435,6-2-7-submit-82910-crop,724,724,30.0,3.8
436,6-2-7-submit-82999-crop,724,724,30.0,3.2
437,6-2-7-submit-83063-crop,724,724,30.0,2.2
438,6-2-7-submit-83485-crop,724,724,30.0,1.4
439,6-2-7-submit-83496-crop,724,724,30.0,2.2
440,6-2-7-submit-83609-crop,724,724,30.0,3.8
441,6-2-7-submit-83619-crop,240,246,24.0,3.4
442,7-1-5-submit-00000-crop,524,524,30.0,4.0
443,7-1-5-submit-82495-crop,524,524,30.0,3.2
444,7-1-5-submit-82501-crop,524,524,30.0,4.2
445,7-1-5-submit-82508-crop,524,524,30.0,1.6
446,7-1-5-submit-82511-crop,524,524,30.0,4.0
447,7-1-5-submit-82882-crop,524,524,30.0,4.0
448,7-1-5-submit-82910-crop,524,524,30.0,3.0
449,7-1-5-submit-82999-crop,524,524,30.0,3.0
450,7-1-5-submit-83063-crop,524,524,30.0,2.0
451,7-1-5-submit-83485-crop,524,524,30.0,1.6
452,7-1-5-submit-83496-crop,524,524,30.0,3.2
453,7-1-5-submit-83609-crop,524,524,30.0,3.8
454,7-1-5-submit-83619-crop,174,178,24.0,3.6
455,7-2-3-submit-00000-crop,572,572,30.0,4.0
456,7-2-3-submit-82495-crop,572,572,30.0,3.6
457,7-2-3-submit-82501-crop,572,572,30.0,4.2
458,7-2-3-submit-82508-crop,572,572,30.0,2.2
459,7-2-3-submit-82511-crop,572,572,30.0,4.2
460,7-2-3-submit-82882-crop,572,572,30.0,4.4
461,7-2-3-submit-82910-crop,572,572,30.0,4.2
462,7-2-3-submit-82999-crop,572,572,30.0,3.2
463,7-2-3-submit-83063-crop,572,572,30.0,3.2
464,7-2-3-submit-83485-crop,572,572,30.0,1.8
465,7-2-3-submit-83496-crop,572,572,30.0,3.0
466,7-2-3-submit-83609-crop,572,572,30.0,3.6
467,7-2-3-submit-83619-crop,190,194,24.0,3.6
468,8-1-6-submit-00000-crop,570,570,30.0,4.0
469,8-1-6-submit-82495-crop,570,570,30.0,3.6
470,8-1-6-submit-82501-crop,570,570,30.0,4.2
471,8-1-6-submit-82508-crop,570,570,30.0,2.2
472,8-1-6-submit-82511-crop,570,570,30.0,3.8
473,8-1-6-submit-82882-crop,570,570,30.0,4.2
474,8-1-6-submit-82910-crop,570,570,30.0,4.0
475,8-1-6-submit-82999-crop,570,570,30.0,3.4
476,8-1-6-submit-83063-crop,570,570,30.0,3.4
477,8-1-6-submit-83485-crop,570,570,30.0,1.8
478,8-1-6-submit-83496-crop,570,570,30.0,3.4
479,8-1-6-submit-83609-crop,570,570,30.0,3.0
480,8-1-6-submit-83619-crop,190,194,24.0,3.0
