name,width,height,framerate
14-2-4-submit-82501,1920,1080,30.0
14-2-4-submit-82508,1920,1080,30.0
14-2-4-submit-82511,1920,1080,30.0
14-2-4-submit-82882,1920,1080,30.0
14-2-4-submit-82910,1920,1080,30.0
14-2-4-submit-82999,1920,1080,30.0
14-2-4-submit-83063,1920,1080,30.0
14-2-4-submit-83485,1920,1080,30.0
14-2-4-submit-83496,1920,1080,30.0
14-2-4-submit-83609,1920,1080,30.0
14-2-4-submit-83619,640,368,24.0
14-2-4-target,1920,1080,30.0
15-1-4-submit-00000,1920,1080,30.0
15-1-4-submit-82495,1920,1080,30.0
15-1-4-submit-82501,1920,1080,30.0
15-1-4-submit-82508,1920,1080,30.0
15-1-4-submit-82511,1920,1080,30.0
15-1-4-submit-82882,1920,1080,30.0
15-1-4-submit-82910,1920,1080,30.0
15-1-4-submit-82999,1920,1080,30.0
15-1-4-submit-83063,1920,1080,30.0
15-1-4-submit-83485,1920,1080,30.0
15-1-4-submit-83496,1920,1080,30.0
15-1-4-submit-83609,1920,1080,30.0
15-1-4-submit-83619,640,368,24.0
15-1-4-target,1920,1080,30.0
15-2-3-submit-00000,1920,1080,30.0
15-2-3-submit-82495,1920,1080,30.0
15-2-3-submit-82501,1920,1080,30.0
15-2-3-submit-82508,1920,1080,30.0
15-2-3-submit-82511,1920,1080,30.0
15-2-3-submit-82882,1920,1080,30.0
15-2-3-submit-82910,1920,1080,30.0
15-2-3-submit-82999,1920,1080,30.0
15-2-3-submit-83063,1920,1080,30.0
15-2-3-submit-83485,1920,1080,30.0
15-2-3-submit-83496,1920,1080,30.0
15-2-3-submit-83609,1920,1080,30.0
15-2-3-submit-83619,640,368,24.0
15-2-3-target,1920,1080,30.0
16-1-4-submit-00000,1920,1080,30.0
16-1-4-submit-82495,1920,1080,30.0
16-1-4-submit-82501,1920,1080,30.0
16-1-4-submit-82508,1920,1080,30.0
16-1-4-submit-82511,1920,1080,30.0
16-1-4-submit-82882,1920,1080,30.0
16-1-4-submit-82910,1920,1080,30.0
16-1-4-submit-82999,1920,1080,30.0
16-1-4-submit-83063,1920,1080,30.0
16-1-4-submit-83485,1920,1080,30.0
16-1-4-submit-83496,1920,1080,30.0
16-1-4-submit-83609,1920,1080,30.0
16-1-4-submit-83619,640,368,24.0
16-1-4-target,1920,1080,30.0
16-2-5-submit-00000,1920,1080,30.0
16-2-5-submit-82495,1920,1080,30.0
16-2-5-submit-82501,1920,1080,30.0
16-2-5-submit-82508,1920,1080,30.0
16-2-5-submit-82511,1920,1080,30.0
16-2-5-submit-82882,1920,1080,30.0
16-2-5-submit-82910,1920,1080,30.0
16-2-5-submit-82999,1920,1080,30.0
16-2-5-submit-83063,1920,1080,30.0
16-2-5-submit-83485,1920,1080,30.0
16-2-5-submit-83496,1920,1080,30.0
16-2-5-submit-83609,1920,1080,30.0
16-2-5-submit-83619,640,368,24.0
16-2-5-target,1920,1080,30.0
18-1-3-submit-00000,1920,1080,25.0
18-1-3-submit-82495,1920,1080,25.0
18-1-3-submit-82501,1920,1080,25.0
18-1-3-submit-82508,1920,1080,25.0
18-1-3-submit-82511,1920,1080,25.0
18-1-3-submit-82882,1920,1080,25.0
18-1-3-submit-82910,1920,1080,25.0
18-1-3-submit-82999,1920,1080,25.0
18-1-3-submit-83063,1920,1080,30.0
18-1-3-submit-83485,1920,1080,25.0
18-1-3-submit-83496,1920,1080,25.0
18-1-3-submit-83609,1920,1080,25.0
18-1-3-submit-83619,640,368,24.0
18-1-3-target,1920,1080,25.0
18-2-4-submit-00000,1920,1080,30.0
18-2-4-submit-82495,1920,1080,30.0
18-2-4-submit-82501,1920,1080,30.0
18-2-4-submit-82508,1920,1080,30.0
18-2-4-submit-82511,1920,1080,30.0
18-2-4-submit-82882,1920,1080,30.0
18-2-4-submit-82910,1920,1080,30.0
18-2-4-submit-82999,1920,1080,30.0
18-2-4-submit-83063,1920,1080,30.0
18-2-4-submit-83485,1920,1080,30.0
18-2-4-submit-83496,1920,1080,30.0
18-2-4-submit-83609,1920,1080,30.0
18-2-4-submit-83619,640,368,24.0
18-2-4-target,1920,1080,30.0
19-1-2-submit-00000,1920,1080,30.0
19-1-2-submit-82495,1920,1080,30.0
19-1-2-submit-82501,1920,1080,30.0
19-1-2-submit-82508,1920,1080,30.0
19-1-2-submit-82511,1920,1080,30.0
19-1-2-submit-82882,1920,1080,30.0
19-1-2-submit-82910,1920,1080,30.0
19-1-2-submit-82999,1920,1080,30.0
19-1-2-submit-83063,1920,1080,30.0
19-1-2-submit-83485,1920,1080,30.0
19-1-2-submit-83496,1920,1080,30.0
19-1-2-submit-83609,1920,1080,30.0
19-1-2-submit-83619,640,368,24.0
19-1-2-target,1920,1080,30.0
19-2-1-submit-00000,3840,2160,30.0
19-2-1-submit-82495,3840,2160,30.0
19-2-1-submit-82501,1920,1080,30.0
19-2-1-submit-82508,3840,2160,30.0
19-2-1-submit-82511,3840,2160,30.0
19-2-1-submit-82882,3840,2160,30.0
19-2-1-submit-82910,3840,2160,30.0
19-2-1-submit-82999,3840,2160,30.0
19-2-1-submit-83063,3840,2160,30.0
19-2-1-submit-83485,3840,2160,30.0
19-2-1-submit-83496,3840,2160,30.0
19-2-1-submit-83609,3840,2160,30.0
19-2-1-submit-83619,640,368,24.0
19-2-1-target,3840,2160,30.0
20-1-3-submit-00000,1920,1080,25.0
20-1-3-submit-82495,1920,1080,25.0
20-1-3-submit-82501,1920,1080,25.0
20-1-3-submit-82508,1920,1080,25.0
20-1-3-submit-82511,1920,1080,25.0
20-1-3-submit-82882,1920,1080,25.0
20-1-3-submit-82910,1920,1080,25.0
20-1-3-submit-82999,1920,1080,25.0
20-1-3-submit-83063,1920,1080,30.0
20-1-3-submit-83485,1920,1080,25.0
20-1-3-submit-83496,1920,1080,25.0
20-1-3-submit-83609,1920,1080,25.0
20-1-3-submit-83619,640,368,24.0
20-1-3-target,1920,1080,25.0
20-2-3-submit-00000,1920,1080,30.0
20-2-3-submit-82495,1920,1080,30.0
20-2-3-submit-82501,1920,1080,30.0
20-2-3-submit-82508,1920,1080,30.0
20-2-3-submit-82511,1920,1080,30.0
20-2-3-submit-82882,1920,1080,30.0
20-2-3-submit-82910,1920,1080,30.0
20-2-3-submit-82999,1920,1080,30.0
20-2-3-submit-83063,1920,1080,30.0
20-2-3-submit-83485,1920,1080,30.0
20-2-3-submit-83496,1920,1080,30.0
20-2-3-submit-83609,1920,1080,30.0
20-2-3-submit-83619,640,368,24.0
20-2-3-target,1920,1080,30.0
21-1-2-submit-00000,1920,1080,30.0
21-1-2-submit-82495,1920,1080,30.0
21-1-2-submit-82501,1920,1080,30.0
21-1-2-submit-82508,1920,1080,30.0
21-1-2-submit-82511,1920,1080,30.0
21-1-2-submit-82882,1920,1080,30.0
21-1-2-submit-82910,1920,1080,30.0
21-1-2-submit-82999,1920,1080,30.0
21-1-2-submit-83063,1920,1080,30.0
21-1-2-submit-83485,1920,1080,30.0
21-1-2-submit-83496,1920,1080,30.0
21-1-2-submit-83609,1920,1080,30.0
21-1-2-submit-83619,640,368,24.0
21-1-2-target,1920,1080,30.0
2-1-1-submit-00000,1920,1080,30.0
2-1-1-submit-82495,1920,1080,30.0
2-1-1-submit-82501,1920,1080,30.0
2-1-1-submit-82508,1920,1080,30.0
2-1-1-submit-82511,1920,1080,30.0
2-1-1-submit-82882,1920,1080,30.0
2-1-1-submit-82910,1920,1080,30.0
2-1-1-submit-82999,1920,1080,30.0
2-1-1-submit-83063,1920,1080,30.0
2-1-1-submit-83485,1920,1080,30.0
2-1-1-submit-83496,1920,1080,30.0
2-1-1-submit-83609,1920,1080,30.0
2-1-1-submit-83619,640,368,24.0
2-1-1-target,1920,1080,30.0
21-2-4-submit-00000,1920,1080,30.0
21-2-4-submit-82495,1920,1080,30.0
21-2-4-submit-82501,1920,1080,30.0
21-2-4-submit-82508,1920,1080,30.0
21-2-4-submit-82511,1920,1080,30.0
21-2-4-submit-82882,1920,1080,30.0
21-2-4-submit-82910,1920,1080,30.0
21-2-4-submit-82999,1920,1080,30.0
21-2-4-submit-83063,1920,1080,30.0
21-2-4-submit-83485,1920,1080,30.0
21-2-4-submit-83496,1920,1080,30.0
21-2-4-submit-83609,1920,1080,30.0
21-2-4-submit-83619,640,368,24.0
21-2-4-target,1920,1080,30.0
22-1-2-submit-00000,1920,1080,30.0
22-1-2-submit-82495,1920,1080,30.0
22-1-2-submit-82501,1920,1080,30.0
22-1-2-submit-82508,1920,1080,30.0
22-1-2-submit-82511,1920,1080,30.0
22-1-2-submit-82882,1920,1080,30.0
22-1-2-submit-82910,1920,1080,30.0
22-1-2-submit-82999,1920,1080,30.0
22-1-2-submit-83063,1920,1080,30.0
22-1-2-submit-83485,1920,1080,30.0
22-1-2-submit-83496,1920,1080,30.0
22-1-2-submit-83609,1920,1080,30.0
22-1-2-submit-83619,640,368,24.0
22-1-2-target,1920,1080,30.0
22-2-3-submit-00000,1920,1080,30.0
22-2-3-submit-82495,1920,1080,30.0
22-2-3-submit-82501,1920,1080,30.0
22-2-3-submit-82508,1920,1080,30.0
22-2-3-submit-82511,1920,1080,30.0
22-2-3-submit-82882,1920,1080,30.0
22-2-3-submit-82910,1920,1080,30.0
22-2-3-submit-82999,1920,1080,30.0
22-2-3-submit-83063,1920,1080,30.0
22-2-3-submit-83485,1920,1080,30.0
22-2-3-submit-83496,1920,1080,30.0
22-2-3-submit-83609,1920,1080,30.0
22-2-3-submit-83619,640,368,24.0
22-2-3-target,1920,1080,30.0
2-2-4-submit-00000,1920,1080,30.0
2-2-4-submit-82495,1920,1080,30.0
2-2-4-submit-82501,1920,1080,30.0
2-2-4-submit-82508,1920,1080,30.0
2-2-4-submit-82511,1920,1080,30.0
2-2-4-submit-82882,1920,1080,30.0
2-2-4-submit-82910,1920,1080,30.0
2-2-4-submit-82999,1920,1080,30.0
2-2-4-submit-83063,1920,1080,30.0
2-2-4-submit-83485,1920,1080,30.0
2-2-4-submit-83496,1920,1080,30.0
2-2-4-submit-83609,1920,1080,30.0
2-2-4-submit-83619,640,368,24.0
2-2-4-target,1920,1080,30.0
3-1-4-submit-00000,1920,1080,30.0
3-1-4-submit-82495,1920,1080,30.0
3-1-4-submit-82501,1920,1080,30.0
3-1-4-submit-82508,1920,1080,30.0
3-1-4-submit-82511,1920,1080,30.0
3-1-4-submit-82882,1920,1080,30.0
3-1-4-submit-82910,1920,1080,30.0
3-1-4-submit-82999,1920,1080,30.0
3-1-4-submit-83063,1920,1080,30.0
3-1-4-submit-83485,1920,1080,30.0
3-1-4-submit-83496,1920,1080,30.0
3-1-4-submit-83609,1920,1080,30.0
3-1-4-submit-83619,640,368,24.0
3-1-4-target,1920,1080,30.0
3-2-2-submit-00000,1920,1080,30.0
3-2-2-submit-82495,1920,1080,30.0
3-2-2-submit-82501,1920,1080,30.0
3-2-2-submit-82508,1920,1080,30.0
3-2-2-submit-82511,1920,1080,30.0
3-2-2-submit-82882,1920,1080,30.0
3-2-2-submit-82910,1920,1080,30.0
3-2-2-submit-82999,1920,1080,30.0
3-2-2-submit-83063,1920,1080,30.0
3-2-2-submit-83485,1920,1080,30.0
3-2-2-submit-83496,1920,1080,30.0
3-2-2-submit-83609,1920,1080,30.0
3-2-2-submit-83619,640,368,24.0
3-2-2-target,1920,1080,30.0
4-1-4-submit-00000,1920,1080,30.0
4-1-4-submit-82495,1920,1080,30.0
4-1-4-submit-82501,1920,1080,30.0
4-1-4-submit-82508,1920,1080,30.0
4-1-4-submit-82511,1920,1080,30.0
4-1-4-submit-82882,1920,1080,30.0
4-1-4-submit-82910,1920,1080,30.0
4-1-4-submit-82999,1920,1080,30.0
4-1-4-submit-83063,1920,1080,30.0
4-1-4-submit-83485,1920,1080,30.0
4-1-4-submit-83496,1920,1080,30.0
4-1-4-submit-83609,1920,1080,30.0
4-1-4-submit-83619,640,368,24.0
4-1-4-target,1920,1080,30.0
4-2-4-submit-00000,1920,1080,30.0
4-2-4-submit-82495,1920,1080,30.0
4-2-4-submit-82501,1920,1080,30.0
4-2-4-submit-82508,1920,1080,30.0
4-2-4-submit-82511,1920,1080,30.0
4-2-4-submit-82882,1920,1080,30.0
4-2-4-submit-82910,1920,1080,30.0
4-2-4-submit-82999,1920,1080,30.0
4-2-4-submit-83063,1920,1080,30.0
4-2-4-submit-83485,1920,1080,30.0
4-2-4-submit-83496,1920,1080,30.0
4-2-4-submit-83609,1920,1080,30.0
4-2-4-submit-83619,640,368,24.0
4-2-4-target,1920,1080,30.0
5-1-8-submit-00000,1920,1080,25.0
5-1-8-submit-82495,1920,1080,25.0
5-1-8-submit-82501,1920,1080,25.0
5-1-8-submit-82508,1920,1080,25.0
5-1-8-submit-82511,1920,1080,25.0
5-1-8-submit-82882,1920,1080,25.0
5-1-8-submit-82910,1920,1080,25.0
5-1-8-submit-82999,1920,1080,25.0
5-1-8-submit-83063,1920,1080,30.0
5-1-8-submit-83485,1920,1080,25.0
5-1-8-submit-83496,1920,1080,25.0
5-1-8-submit-83609,1920,1080,25.0
5-1-8-submit-83619,640,368,24.0
5-1-8-target,1920,1080,25.0
5-2-2-submit-00000,1920,1080,30.0
5-2-2-submit-82495,1920,1080,30.0
5-2-2-submit-82501,1920,1080,30.0
5-2-2-submit-82508,1920,1080,30.0
5-2-2-submit-82511,1920,1080,30.0
5-2-2-submit-82882,1920,1080,30.0
5-2-2-submit-82910,1920,1080,30.0
5-2-2-submit-82999,1920,1080,30.0
5-2-2-submit-83063,1920,1080,30.0
5-2-2-submit-83485,1920,1080,30.0
5-2-2-submit-83496,1920,1080,30.0
5-2-2-submit-83609,1920,1080,30.0
5-2-2-submit-83619,640,368,24.0
5-2-2-target,1920,1080,30.0
6-1-6-submit-00000,1920,1080,30.0
6-1-6-submit-82495,1920,1080,30.0
6-1-6-submit-82501,1920,1080,30.0
6-1-6-submit-82508,1920,1080,30.0
6-1-6-submit-82511,1920,1080,30.0
6-1-6-submit-82882,1920,1080,30.0
6-1-6-submit-82910,1920,1080,30.0
6-1-6-submit-82999,1920,1080,30.0
6-1-6-submit-83063,1920,1080,30.0
6-1-6-submit-83485,1920,1080,30.0
6-1-6-submit-83496,1920,1080,30.0
6-1-6-submit-83609,1920,1080,30.0
6-1-6-submit-83619,640,368,24.0
6-1-6-target,1920,1080,30.0
6-2-7-submit-00000,1920,1080,30.0
6-2-7-submit-82495,1920,1080,30.0
6-2-7-submit-82501,1920,1080,30.0
6-2-7-submit-82508,1920,1080,30.0
6-2-7-submit-82511,1920,1080,30.0
6-2-7-submit-82882,1920,1080,30.0
6-2-7-submit-82910,1920,1080,30.0
6-2-7-submit-82999,1920,1080,30.0
6-2-7-submit-83063,1920,1080,30.0
6-2-7-submit-83485,1920,1080,30.0
6-2-7-submit-83496,1920,1080,30.0
6-2-7-submit-83609,1920,1080,30.0
6-2-7-submit-83619,640,368,24.0
6-2-7-target,1920,1080,30.0
7-1-5-submit-00000,1920,1080,30.0
7-1-5-submit-82495,1920,1080,30.0
7-1-5-submit-82501,1920,1080,30.0
7-1-5-submit-82508,1920,1080,30.0
7-1-5-submit-82511,1920,1080,30.0
7-1-5-submit-82882,1920,1080,30.0
7-1-5-submit-82910,1920,1080,30.0
7-1-5-submit-82999,1920,1080,30.0
7-1-5-submit-83063,1920,1080,30.0
7-1-5-submit-83485,1920,1080,30.0
7-1-5-submit-83496,1920,1080,30.0
7-1-5-submit-83609,1920,1080,30.0
7-1-5-submit-83619,640,368,24.0
7-1-5-target,1920,1080,30.0
7-2-3-submit-00000,1920,1080,30.0
7-2-3-submit-82495,1920,1080,30.0
7-2-3-submit-82501,1920,1080,30.0
7-2-3-submit-82508,1920,1080,30.0
7-2-3-submit-82511,1920,1080,30.0
7-2-3-submit-82882,1920,1080,30.0
7-2-3-submit-82910,1920,1080,30.0
7-2-3-submit-82999,1920,1080,30.0
7-2-3-submit-83063,1920,1080,30.0
7-2-3-submit-83485,1920,1080,30.0
7-2-3-submit-83496,1920,1080,30.0
7-2-3-submit-83609,1920,1080,30.0
7-2-3-submit-83619,640,368,24.0
7-2-3-target,1920,1080,30.0
8-1-6-submit-00000,1920,1080,30.0
8-1-6-submit-82495,1920,1080,30.0
8-1-6-submit-82501,1920,1080,30.0
8-1-6-submit-82508,1920,1080,30.0
8-1-6-submit-82511,1920,1080,30.0
8-1-6-submit-82882,1920,1080,30.0
8-1-6-submit-82910,1920,1080,30.0
8-1-6-submit-82999,1920,1080,30.0
8-1-6-submit-83063,1920,1080,30.0
8-1-6-submit-83485,1920,1080,30.0
8-1-6-submit-83496,1920,1080,30.0
8-1-6-submit-83609,1920,1080,30.0
8-1-6-submit-83619,640,368,24.0
8-1-6-target,1920,1080,30.0
8-2-2-submit-00000,1920,1080,30.0
8-2-2-submit-82495,1920,1080,30.0
8-2-2-submit-82501,1920,1080,30.0
8-2-2-submit-82508,1920,1080,30.0
8-2-2-submit-82511,1920,1080,30.0
8-2-2-submit-82882,1920,1080,30.0
8-2-2-submit-82910,1920,1080,30.0
8-2-2-submit-82999,1920,1080,30.0
8-2-2-submit-83063,1920,1080,30.0
8-2-2-submit-83485,1920,1080,30.0
8-2-2-submit-83496,1920,1080,30.0
8-2-2-submit-83609,1920,1080,30.0
8-2-2-submit-83619,640,368,24.0
8-2-2-target,1920,1080,30.0
9-1-4-submit-00000,1920,1080,30.0
9-1-4-submit-82495,1920,1080,30.0
9-1-4-submit-82501,1920,1080,30.0
9-1-4-submit-82508,1920,1080,30.0
9-1-4-submit-82511,1920,1080,30.0
9-1-4-submit-82882,1920,1080,30.0
9-1-4-submit-82910,1920,1080,30.0
9-1-4-submit-82999,1920,1080,30.0
9-1-4-submit-83063,1920,1080,30.0
9-1-4-submit-83485,1920,1080,30.0
9-1-4-submit-83496,1920,1080,30.0
9-1-4-submit-83609,1920,1080,30.0
9-1-4-submit-83619,640,368,24.0
9-1-4-target,1920,1080,30.0
9-2-2-submit-00000,1920,1080,30.0
9-2-2-submit-82495,1920,1080,30.0
9-2-2-submit-82501,1920,1080,30.0
9-2-2-submit-82508,1920,1080,30.0
9-2-2-submit-82511,1920,1080,30.0
9-2-2-submit-82882,1920,1080,30.0
9-2-2-submit-82910,1920,1080,30.0
9-2-2-submit-82999,1920,1080,30.0
9-2-2-submit-83063,1920,1080,30.0
9-2-2-submit-83485,1920,1080,30.0
9-2-2-submit-83496,1920,1080,30.0
9-2-2-submit-83609,1920,1080,30.0
9-2-2-submit-83619,640,368,24.0
9-2-2-target,1920,1080,30.0
