name,,,mos
21-1-1-submit-75090-crop,,,2.4
21-2-2-submit-00000-crop,,,3
21-2-2-submit-73479-crop,,,2.2
21-2-2-submit-73549-crop,,,3.2
21-2-2-submit-74734-crop,,,3
21-2-2-submit-74766-crop,,,2.2
21-2-2-submit-75090-crop,,,2.2
22-1-1-submit-00000-crop,,,4
22-1-1-submit-73479-crop,,,3.2
22-1-1-submit-73549-crop,,,3.6
22-1-1-submit-74734-crop,,,3.2
22-1-1-submit-74766-crop,,,2.6
22-1-1-submit-75090-crop,,,2.8
22-2-2-submit-00000-crop,,,3.6
22-2-2-submit-73479-crop,,,3
22-2-2-submit-73549-crop,,,3.8
22-2-2-submit-74734-crop,,,3.2
22-2-2-submit-74766-crop,,,2.6
22-2-2-submit-75090-crop,,,3
